EmployeeKey,EmployeeNationalID,SalesTerritoryKey,FirstName,LastName,FullName,Title,Title,HireDate,BirthDate,EmalAddress,Phone,MediumaritalSmalltatuSmall,Gender,PayFrequency,BaseRate,VacationHours,SickLeaveHours,DepartmentName,StartDate,EndDate,Status
121,92096924,11,Diane,Tibbott,Diane Tibbott,Production   Technician   - WC50,Production Technician - WC50,8/18/2008,3/9/1989,diane2@adventure-works.com,361-555-0180,Small,Female,1,11.00,8,24,Production,8/18/2008,,Current
122,72636981,11,Jill,Williams,Jill Williams,Marketing Specialist,Marketing Specialist,8/18/2008,1/16/1979,jill0@adventure-works.com,510-555-0121,Medium,Female,2,14.42,47,43,Marketing,8/18/2008,,Current
123,563680513,11,Angela,Barbariol,Angela Barbariol,Production   Technician   - WC50,Production Technician - WC50,8/20/2008,12/29/1990,angela0@adventure-works.com,150-555-0194,Small,Female,1,11.00,92,66,Production,8/20/2008,,Current
124,584205124,11,Matthias,Berndt,Matthias Berndt,Shipping and Receiving Clerk,Shipping and Receiving Clerk,8/20/2008,6/11/1973,matthias0@adventure-works.com,139-555-0120,Medium,Male,2,9.50,94,67,Shipping and Receiving,8/20/2008,,Current
125,458159238,11,Bryan,Baker,Bryan Baker,Production   Technician   - WC60,Production Technician - WC60,8/21/2008,3/27/1973,bryan0@adventure-works.com,712-555-0113,Small,Male,1,12.45,35,37,Production,8/21/2008,,Current
126,712885347,11,Jeff,Hay,Jeff Hay,Production Supervisor - WC45,Production Supervisor - WC45,8/21/2008,8/15/1976,jeff0@adventure-works.com,350-555-0167,Medium,Male,2,25.00,74,57,Production,8/21/2008,,Current
127,87268837,11,Eugene,Zabokritski,Eugene Zabokritski,Production   Technician   - WC30,Production Technician - WC30,8/21/2008,2/12/1987,eugene0@adventure-works.com,241-555-0191,Small,Male,1,9.50,33,36,Production,8/21/2008,,Current
128,969985265,11,Barbara,Decker,Barbara Decker,Production   Technician   - WC20,Production Technician - WC20,8/22/2008,7/29/1984,barbara0@adventure-works.com,119-555-0192,Medium,Female,1,14.00,17,28,Production,8/22/2008,,Current
129,539490372,11,Chris,Preston,Chris Preston,Production   Technician   - WC45,Production Technician - WC45,8/22/2008,7/16/1988,chris0@adventure-works.com,200-555-0112,Medium,Male,1,10.00,76,58,Production,8/22/2008,,Current
130,242381745,11,Sean,Chai,Sean Chai,Document Control Assistant,Document Control Assistant,8/22/2008,10/10/1986,sean1@adventure-works.com,205-555-0132,Small,Male,2,10.25,78,59,Document Control,8/22/2008,,Current
131,929666391,11,Dan,Wilson,Dan Wilson,Database Administrator,Database Administrator,8/22/2008,8/6/1975,dan1@adventure-works.com,653-555-0144,Medium,Male,2,38.46,66,53,Information Services,8/22/2008,,Current
132,948320468,11,Mark,McArthur,Mark Mcarthur,Production   Technician   - WC60,Production Technician - WC60,8/23/2008,4/25/1979,mark1@adventure-works.com,417-555-0154,Small,Male,1,12.45,19,29,Production,8/23/2008,,Current
133,931190412,11,Bryan,Walton,Bryan Walton,Accounts Receivable Specialist,Accounts Receivable Specialist,8/24/2008,4/20/1984,bryan1@adventure-works.com,935-555-0199,Small,Male,2,19.00,62,51,Finance,8/24/2008,,Current
134,153288994,11,Houman,Pournasseh,Houman Pournasseh,Production   Technician   - WC50,Production Technician - WC50,8/25/2008,3/30/1971,houman0@adventure-works.com,180-555-0136,Medium,Male,1,11.00,3,21,Production,8/25/2008,,Current
135,981495526,11,Sairaj,Uddin,Sairaj Uddin,Scheduling Assistant,Scheduling Assistant,8/26/2008,7/22/1987,sairaj0@adventure-works.com,500-555-0159,Medium,Male,2,16.00,46,43,Production Control,8/26/2008,,Current
136,363996959,11,Michiko,Osada,Michiko Osada,Production   Technician   - WC30,Production Technician - WC30,8/26/2008,1/25/1982,michiko0@adventure-works.com,984-555-0148,Small,Male,1,9.50,44,42,Production,8/26/2008,,Current
137,585408256,11,Benjamin,Martin,Benjamin Martin,Production   Technician   - WC30,Production Technician - WC30,8/27/2008,8/5/1985,benjamin0@adventure-works.com,533-555-0111,Small,Male,1,9.50,28,34,Production,8/27/2008,,Current
138,386315192,11,Cynthia,Randall,Cynthia Randall,Production Supervisor - WC30,Production Supervisor - WC30,8/27/2008,3/18/1981,cynthia0@adventure-works.com,352-555-0138,Small,Female,2,25.00,69,54,Production,8/27/2008,,Current
139,167554340,11,Kathie,Flood,Kathie Flood,Production   Technician   - WC45,Production Technician - WC45,8/27/2008,6/1/1990,kathie0@adventure-works.com,446-555-0118,Medium,Female,1,10.00,87,63,Production,8/27/2008,,Current
140,410742000,11,Britta,Simon,Britta Simon,Production   Technician   - WC60,Production Technician - WC60,8/29/2008,4/28/1989,britta0@adventure-works.com,955-555-0169,Medium,Female,1,12.45,14,27,Production,8/29/2008,,Current
141,746201340,11,Brian,Lloyd,Brian Lloyd,Production   Technician   - WC40,Production Technician - WC40,8/29/2008,9/10/1976,brian0@adventure-works.com,110-555-0182,Small,Male,1,15.00,55,47,Production,8/29/2008,,Current
142,30845,11,David,Liu,David Liu,Accounts  Manager,Accounts Manager,8/30/2008,2/5/1983,david6@adventure-works.com,646-555-0185,Medium,Male,2,34.74,57,48,Finance,8/30/2008,,Current
143,184188301,11,Laura,Norman,Laura Norman,Chief Financial Officer,Chief Financial Officer,8/31/2008,8/6/1975,laura1@adventure-works.com,615-555-0110,Medium,Female,2,60.10,0,20,Executive,8/31/2008,6/13/2013,
144,184188301,11,Laura,Norman,Laura Norman,Chief Financial Officer,Chief Financial Officer,8/31/2008,8/6/1975,laura1@adventure-works.com,615-555-0110,Medium,Female,2,60.10,0,20,Executive,6/13/2013,,Current
145,398737566,11,Michael,Patten,Michael Patten,Production   Technician   - WC50,Production Technician - WC50,8/31/2008,12/1/1973,michael2@adventure-works.com,441-555-0195,Small,Male,1,11.00,98,69,Production,8/31/2008,,Current
146,764853868,11,Andy,  Ruth,Andy Ruth,Production   Technician   - WC30,Production Technician - WC30,8/31/2008,5/20/1983,andy0@adventure-works.com,118-555-0110,Medium,Male,1,9.50,39,39,Production,8/31/2008,,Current
147,319472946,11,Yuhong,Li,Yuhong Li,Production Supervisor - WC20,Production Supervisor - WC20,9/1/2008,11/4/1976,yuhong0@adventure-works.com,965-555-0155,Medium,Male,2,25.00,41,40,Production,9/1/2008,,Current
148,456839592,11,Robert,Rounthwaite,Robert Rounthwaite,Production   Technician   - WC45,Production Technician - WC45,9/2/2008,9/28/1984,robert0@adventure-works.com,589-555-0147,Small,Male,1,10.00,82,61,Production,9/2/2008,,Current
149,131471224,11,Andreas,Berglund,Andreas Berglund,Quality Assurance   Technician  ,Quality Assurance Technician,9/2/2008,10/26/1988,andreas0@adventure-works.com,181-555-0124,Medium,Male,2,10.58,84,62,Quality Assurance,9/2/2008,,Current
150,259388196,11,  Reed,Koch,Reed Koch,Production   Technician   - WC30,Production Technician - WC30,9/2/2008,8/8/1988,reed0@adventure-works.com,678-555-0110,Medium,Male,1,9.50,23,31,Production,9/2/2008,,Current
151,812797414,11,Linda,Randall,Linda Randall,Production   Technician   - WC20,Production Technician - WC20,9/3/2008,5/5/1977,linda1@adventure-works.com,696-555-0157,Small,Female,1,14.00,12,26,Production,9/3/2008,,Current
152,519899904,11,James,Hamilton,James Hamilton,Vice President of Production,Vice President of Production,9/3/2008,2/4/1988,james1@adventure-works.com,870-555-0122,Small,Male,2,84.13,64,52,Production,9/3/2008,,Current
153,314747499,11,Ramesh,Meyyappan,Ramesh Meyyappan,Application Specialist,Application Specialist,9/3/2008,10/12/1987,ramesh0@adventure-works.com,182-555-0134,Small,Male,2,27.40,73,56,Information Services,9/3/2008,,Current
154,858323870,11,Stephanie,   Conroy,Stephanie Conroy,Network  Manager,Network Manager,9/4/2008,10/24/1983,stephanie0@adventure-works.com,594-555-0110,Small,Female,2,39.66,68,54,Information Services,9/4/2008,,Current
155,25011600,11,Samantha,Smith,Samantha Smith,Production   Technician   - WC20,Production Technician - WC20,9/4/2008,6/22/1987,samantha0@adventure-works.com,587-555-0114,Medium,Female,1,14.00,7,23,Production,9/4/2008,,Current
156,436757988,11,Tawana,Nusbaum,Tawana Nusbaum,Production   Technician   - WC40,Production Technician - WC40,9/5/2008,6/10/1989,tawana0@adventure-works.com,368-555-0113,Small,Male,1,15.00,50,45,Production,9/5/2008,,Current
157,652535724,11,  Denise,Smith,Denise Smith,Production   Technician   - WC50,Production Technician - WC50,9/5/2008,2/4/1988,denise0@adventure-works.com,869-555-0119,Medium,Female,1,11.00,9,24,Production,9/5/2008,,Current
158,416679555,11,Hao,Chen,Hao Chen,Human Resources Administrative Assistant,Human Resources Administrative Assistant,9/6/2008,11/15/1976,hao0@adventure-works.com,806-555-0136,Small,Male,2,13.94,52,46,Human Resources,9/6/2008,,Current
159,377784364,11,Alex,Nayberg,Alex Nayberg,Production   Technician   - WC45,Production Technician - WC45,9/8/2008,11/11/1989,alex0@adventure-works.com,819-555-0198,Medium,Male,1,10.00,77,58,Production,9/8/2008,,Current
160,66073987,11,Eugene,Kogan,Eugene Kogan,Production   Technician   - WC60,Production Technician - WC60,9/8/2008,9/10/1975,eugene1@adventure-works.com,173-555-0179,Small,Male,1,12.45,36,38,Production,9/8/2008,,Current
161,999440576,11,Brandon,Heidepriem,Brandon Heidepriem,Production   Technician   - WC60,Production Technician - WC60,9/8/2008,8/10/1976,brandon0@adventure-works.com,429-555-0137,Medium,Male,1,12.45,22,31,Production,9/8/2008,,Current
162,134969118,11,Dylan,Miller,Dylan Miller,Research and Development  Manager,Research and Development Manager,9/8/2008,9/24/1986,dylan0@adventure-works.com,181-555-0156,Medium,Male,2,50.48,61,50,Research and Development,9/8/2008,,Current
163,551834634,11,Shane,Kim,Shane Kim,Production Supervisor - WC45,Production Supervisor - WC45,9/8/2008,12/22/1989,shane0@adventure-works.com,810-555-0178,Small,Male,2,25.00,75,57,Production,9/8/2008,,Current
164,305522471,11,John,Chen,John Chen,Production   Technician   - WC20,Production Technician - WC20,9/9/2008,11/3/1985,john2@adventure-works.com,201-555-0163,Medium,Male,1,14.00,18,29,Production,9/9/2008,,Current
165,260770918,11,Karen,Berge,Karen Berge,Document Control Assistant,Document Control Assistant,9/9/2008,7/25/1975,karen0@adventure-works.com,746-555-0164,Medium,Female,2,10.25,79,59,Document Control,9/9/2008,,Current
166,788456780,11,Jose,Lugo,Jose Lugo,Production   Technician   - WC60,Production Technician - WC60,9/10/2008,2/29/1984,jose0@adventure-works.com,587-555-0115,Medium,Male,1,12.45,20,30,Production,9/10/2008,,Current
167,370581729,11,Mandar,Samant,Mandar Samant,Production   Technician   - WC50,Production Technician - WC50,9/10/2008,10/19/1985,mandar0@adventure-works.com,140-555-0132,Small,Male,1,11.00,0,20,Production,9/10/2008,,Current
168,603686790,11,Mikael,Sandberg,Mikael Sandberg,Buyer,Buyer,9/10/2008,3/17/1984,mikael0@adventure-works.com,309-555-0170,Small,Male,2,18.27,59,49,Purchasing,9/10/2008,,Current
169,152085091,11,Sameer,  Tejani,Sameer Tejani,Production   Technician   - WC50,Production Technician - WC50,9/11/2008,1/24/1978,sameer0@adventure-works.com,990-555-0172,Medium,Male,1,11.00,4,22,Production,9/11/2008,,Current
170,663843431,11,Dragan,Tomic,Dragan Tomic,Accounts Payable Specialist,Accounts Payable Specialist,9/11/2008,9/14/1976,dragan0@adventure-works.com,117-555-0185,Medium,Male,2,19.00,63,51,Finance,9/11/2008,,Current
171,227319668,11,Carol,Philips,Carol Philips,Production   Technician   - WC30,Production Technician - WC30,9/12/2008,5/17/1988,carol0@adventure-works.com,609-555-0153,Medium,Female,1,9.50,45,42,Production,9/12/2008,,Current
172,578953538,11,  Rob,Caron,Rob Caron,Production   Technician   - WC40,Production Technician - WC40,9/13/2008,3/4/1973,rob1@adventure-works.com,238-555-0116,Small,Male,1,15.00,71,55,Production,9/13/2008,,Current
173,222400012,11,Don,Hall,Don Hall,Production   Technician   - WC50,Production Technician - WC50,9/13/2008,1/11/1971,don0@adventure-works.com,100-555-0174,Medium,Male,1,11.00,88,64,Production,9/13/2008,,Current
174,470689086,11,Alan,Brewer,Alan Brewer,Scheduling Assistant,Scheduling Assistant,9/13/2008,10/28/1983,alan0@adventure-works.com,438-555-0172,Medium,Male,2,16.00,47,43,Production Control,9/13/2008,,Current
175,860123571,11,David,Lawrence,David Lawrence,Production   Technician   - WC30,Production Technician - WC30,9/14/2008,4/23/1985,david7@adventure-works.com,118-555-0177,Medium,Male,1,9.50,29,34,Production,9/14/2008,,Current
176,273260055,11,Baris,Cetinok,Baris Cetinok,Production   Technician   - WC40,Production Technician - WC40,9/15/2008,5/7/1990,baris0@adventure-works.com,164-555-0114,Small,Male,1,15.00,72,56,Production,9/15/2008,,Current
177,578935259,11,Michael,Ray,Michael Ray,Production Supervisor - WC30,Production Supervisor - WC30,9/15/2008,8/29/1988,michael3@adventure-works.com,156-555-0199,Small,Male,2,25.00,70,55,Production,9/15/2008,,Current
178,752513276,11,Steve,Masters,Steve Masters,Production   Technician   - WC60,Production Technician - WC60,9/15/2008,11/4/1990,steve0@adventure-works.com,712-555-0170,Small,Male,1,12.45,31,35,Production,9/15/2008,,Current
179,754372876,11,Suchitra,Mohan,Suchitra Mohan,Production   Technician   - WC60,Production Technician - WC60,9/16/2008,1/8/1987,suchitra0@adventure-works.com,753-555-0129,Medium,Female,1,12.45,15,27,Production,9/16/2008,,Current
180,58317344,11,Karen,Berg,Karen Berg,Application Specialist,Application Specialist,9/16/2008,12/17/1977,karen1@adventure-works.com,654-555-0177,Small,Female,2,27.40,74,57,Information Services,9/16/2008,,Current
181,404159499,11,Terrence,Earls,Terrence Earls,Production   Technician   - WC20,Production Technician - WC20,9/16/2008,7/8/1984,terrence0@adventure-works.com,110-555-0115,Small,Male,1,14.00,13,26,Production,9/16/2008,,Current
182,363910111,11,Barbara,Moreland,Barbara Moreland,Accountant,Accountant,9/18/2008,8/4/1975,barbara1@adventure-works.com,822-555-0145,Medium,Female,2,26.44,58,49,Finance,9/18/2008,,Current
183,599942664,11,Chad,Niswonger,Chad Niswonger,Production   Technician   - WC50,Production Technician - WC50,9/18/2008,3/4/1990,chad0@adventure-works.com,559-555-0175,Medium,Male,1,11.00,99,69,Production,9/18/2008,,Current
184,993310268,11,Rostislav,Shabalin,Rostislav Shabalin,Production   Technician   - WC30,Production Technician - WC30,9/19/2008,4/13/1977,rostislav0@adventure-works.com,751-555-0134,Medium,Male,1,9.50,40,40,Production,9/19/2008,,Current
185,20244403,11,Belinda,Newman,Belinda Newman,Production   Technician   - WC45,Production Technician - WC45,9/20/2008,10/15/1974,belinda0@adventure-works.com,319-555-0126,Small,Female,1,10.00,83,61,Production,9/20/2008,,Current
186,862951447,11,Katie,McAskill-White,Katie Mcaskill-White,Production Supervisor - WC20,Production Supervisor - WC20,9/20/2008,6/18/1984,katie0@adventure-works.com,809-555-0133,Small,Female,2,25.00,42,41,Production,9/20/2008,,Current
187,551346974,11,Russell,King,Russell King,Production   Technician   - WC30,Production Technician - WC30,9/21/2008,9/11/1981,russell1@adventure-works.com,517-555-0122,Medium,Male,1,9.50,24,32,Production,9/21/2008,,Current
188,60114406,11,Jack,Richins,Jack Richins,Production Supervisor - WC30,Production Supervisor - WC30,9/21/2008,1/20/1983,jack0@adventure-works.com,552-555-0111,Small,Male,2,25.00,68,54,Production,9/21/2008,,Current
189,33237992,11,Andrew,Hill,Andrew Hill,Production Supervisor - WC10,Production Supervisor - WC10,9/22/2008,4/6/1988,andrew0@adventure-works.com,908-555-0159,Small,Male,2,25.00,65,52,Production,9/22/2008,,Current
190,1300049,11,Nicole,Holliday,Nicole Holliday,Production   Technician   - WC40,Production Technician - WC40,9/22/2008,11/7/1985,nicole0@adventure-works.com,508-555-0129,Medium,Female,1,15.00,67,53,Production,9/22/2008,,Current
191,10708100,11,Frank,Miller,Frank Miller,Production   Technician   - WC50,Production Technician - WC50,9/23/2008,2/21/1971,frank1@adventure-works.com,167-555-0139,Small,Male,1,11.00,10,25,Production,9/23/2008,,Current
192,672243793,11,Peter,Connelly,Peter Connelly,Network Administrator,Network Administrator,9/23/2008,12/27/1979,peter1@adventure-works.com,310-555-0133,Small,Male,2,32.45,69,54,Information Services,9/23/2008,,Current
193,63761469,11,Anibal,Sousa,Anibal Sousa,Production   Technician   - WC20,Production Technician - WC20,9/23/2008,4/5/1974,anibal0@adventure-works.com,106-555-0120,Small,Female,1,14.00,8,24,Production,9/23/2008,,Current
194,693168613,11,Ken,Myer,Ken Myer,Production   Technician   - WC40,Production Technician - WC40,9/24/2008,12/26/1980,ken1@adventure-works.com,949-555-0174,Medium,Male,1,15.00,51,45,Production,9/24/2008,,Current
195,476980013,11,Grant,Culbertson,Grant Culbertson,Human Resources Administrative Assistant,Human Resources Administrative Assistant,9/25/2008,11/15/1975,grant0@adventure-works.com,955-555-0131,Small,Male,2,13.94,53,46,Human Resources,9/25/2008,,Current
196,334834274,11,Michael,Entin,Michael Entin,Production   Technician   - WC50,Production Technician - WC50,9/25/2008,1/13/1989,michael4@adventure-works.com,817-555-0186,Small,Male,1,11.00,94,67,Production,9/25/2008,,Current
197,399658727,11,Lionel,Penuchot,Lionel Penuchot,Production   Technician   - WC45,Production Technician - WC45,9/26/2008,10/13/1987,lionel0@adventure-works.com,450-555-0152,Small,Male,1,10.00,78,59,Production,9/26/2008,,Current
198,500412746,11,Thomas,Michaels,Thomas Michaels,Production   Technician   - WC60,Production Technician - WC60,9/26/2008,8/10/1985,thomas0@adventure-works.com,278-555-0118,Medium,Male,1,12.45,37,38,Production,9/26/2008,,Current
199,652779496,11,Jimmy,Bischoff,Jimmy Bischoff,Stocker,Stocker,9/26/2008,6/1/1990,jimmy0@adventure-works.com,927-555-0168,Medium,Male,1,9.00,96,68,Shipping and Receiving,9/26/2008,,Current
200,878395493,11,Michael,Vanderhyde,Michael Vanderhyde,Production   Technician   - WC30,Production Technician - WC30,9/26/2008,4/18/1982,michael5@adventure-works.com,296-555-0121,Medium,Male,1,9.50,35,37,Production,9/26/2008,,Current
201,332349500,11,Lori,Kane,Lori Kane,Production Supervisor - WC45,Production Supervisor - WC45,9/26/2008,2/16/1980,lori0@adventure-works.com,289-555-0196,Small,Female,2,25.00,76,58,Production,9/26/2008,,Current
202,792847334,11,Arvind,Rao,Arvind Rao,Buyer,Buyer,9/28/2008,3/21/1974,arvind0@adventure-works.com,848-555-0163,Medium,Male,2,18.27,60,50,Purchasing,9/28/2008,,Current
203,621932914,11,Stefen,Hesse,Stefen Hesse,Production   Technician   - WC20,Production Technician - WC20,9/28/2008,7/21/1975,stefen0@adventure-works.com,165-555-0113,Small,Male,1,14.00,19,29,Production,9/28/2008,,Current
204,398223854,11,Hazem,Abolrous,Hazem Abolrous,Quality Assurance  Manager,Quality Assurance Manager,9/28/2008,5/26/1977,hazem0@adventure-works.com,869-555-0125,Small,Male,2,28.85,80,60,Quality Assurance,9/28/2008,,Current
205,519756660,11,Janet,Sheperdigian,Janet Sheperdigian,Accounts Payable Specialist,Accounts Payable Specialist,9/29/2008,10/7/1978,janet0@adventure-works.com,393-555-0186,Medium,Female,2,19.00,64,52,Finance,9/29/2008,,Current
206,912141525,11,Elizabeth,Keyser,Elizabeth Keyser,Production   Technician   - WC50,Production Technician - WC50,9/30/2008,8/25/1989,elizabeth0@adventure-works.com,318-555-0137,Medium,Female,1,11.00,5,22,Production,9/30/2008,,Current
207,243322160,11,Terry,Eminhizer,Terry Eminhizer,Marketing Specialist,Marketing Specialist,9/30/2008,9/4/1985,terry0@adventure-works.com,138-555-0118,Medium,Male,2,14.42,44,42,Marketing,9/30/2008,,Current
208,568626529,11,John,Frum,John Frum,Production   Technician   - WC30,Production Technician - WC30,10/1/2008,10/22/1981,john3@adventure-works.com,663-555-0172,Small,Male,1,9.50,27,33,Production,10/1/2008,,Current
209,301435199,11,Merav,Netz,Merav Netz,Production   Technician   - WC30,Production Technician - WC30,10/1/2008,12/11/1982,merav0@adventure-works.com,224-555-0187,Medium,Female,1,9.50,46,43,Production,10/1/2008,,Current
210,368691270,11,Brian,LaMee,Brian Lamee,Scheduling Assistant,Scheduling Assistant,10/1/2008,3/11/1984,brian1@adventure-works.com,313-555-0196,Medium,Male,2,16.00,48,44,Production Control,10/1/2008,,Current
211,211789056,11,Kitti,Lertpiriyasuwat,Kitti Lertpiriyasuwat,Production   Technician   - WC50,Production Technician - WC50,10/2/2008,1/4/1987,kitti0@adventure-works.com,785-555-0132,Small,Female,1,11.00,89,64,Production,10/2/2008,,Current
212,63179277,11,Jay,Adams,Jay Adams,Production   Technician   - WC60,Production Technician - WC60,10/3/2008,9/11/1975,jay0@adventure-works.com,407-555-0165,Small,Male,1,12.45,32,36,Production,10/3/2008,,Current
213,587567941,11,Jan,Miksovsky,Jan Miksovsky,Production   Technician   - WC30,Production Technician - WC30,10/3/2008,6/15/1974,jan0@adventure-works.com,139-555-0131,Small,Male,1,9.50,30,35,Production,10/3/2008,,Current
214,634335025,11,Brenda,Diaz,Brenda Diaz,Production Supervisor - WC40,Production Supervisor - WC40,10/3/2008,9/28/1982,brenda0@adventure-works.com,142-555-0139,Medium,Female,2,25.00,71,55,Production,10/3/2008,,Current
215,65848458,11,Andrew,Cencini,Andrew Cencini,Production   Technician   - WC45,Production Technician - WC45,10/4/2008,4/24/1988,andrew1@adventure-works.com,207-555-0192,Small,Male,1,10.00,73,56,Production,10/4/2008,,Current
216,260805477,11,Chris,Norred,Chris Norred,Control Specialist,Control Specialist,10/4/2008,12/24/1986,chris1@adventure-works.com,575-555-0126,Medium,Male,2,16.83,75,57,Document Control,10/4/2008,,Current
217,442121106,11,Chris,Okelberry,Chris Okelberry,Production   Technician   - WC60,Production Technician - WC60,10/5/2008,3/7/1986,chris2@adventure-works.com,315-555-0144,Small,Male,1,12.45,16,28,Production,10/5/2008,,Current
218,300946911,11,Shelley,Dyck,Shelley Dyck,Production   Technician   - WC20,Production Technician - WC20,10/5/2008,7/8/1986,shelley0@adventure-works.com,991-555-0184,Small,Female,1,14.00,14,27,Production,10/5/2008,,Current
219,440379437,11,Gabe,Mares,Gabe Mares,Production   Technician   - WC40,Production Technician - WC40,10/6/2008,12/9/1987,gabe0@adventure-works.com,310-555-0117,Medium,Male,1,15.00,57,48,Production,10/6/2008,,Current
220,480951955,11,Mike,Seamans,Mike Seamans,Accountant,Accountant,10/6/2008,1/29/1979,mike0@adventure-works.com,927-555-0150,Small,Male,2,26.44,59,49,Finance,10/6/2008,,Current
221,879342154,11,Michael,Raheem,Michael Raheem,Research and Development  Manager,Research and Development Manager,12/1/2008,6/30/1984,michael6@adventure-works.com,330-555-2568,Medium,Male,2,42.48,16,64,Research and Development,12/1/2008,,Current
222,141165819,11,Gary,Altman,Gary Altman,Facilities  Manager,Facilities Manager,7/2/2009,9/18/1970,gary1@adventure-works.com,110-555-0112,Medium,Male,2,24.04,86,63,Facilities and Maintenance,7/2/2009,,Current
223,537092325,11,Charles,Fitzgerald,Charles Fitzgerald,Production   Technician   - WC60,Production Technician - WC60,7/3/2009,4/2/1971,charles0@adventure-works.com,931-555-0118,Small,Male,1,12.45,27,33,Production,7/3/2009,,Current
224,455563743,11,Ebru,Ersan,Ebru Ersan,Production   Technician   - WC10,Production Technician - WC10,7/6/2009,4/22/1986,ebru0@adventure-works.com,202-555-0187,Small,Male,1,13.45,93,66,Production,7/6/2009,,Current
225,701156975,11,Sylvester,Valdez,Sylvester Valdez,Production   Technician   - WC20,Production Technician - WC20,7/11/2009,6/12/1970,sylvester0@adventure-works.com,492-555-0174,Medium,Male,1,14.00,4,22,Production,7/11/2009,,Current
226,1662732,11,Brian,Goldstein,Brian Goldstein,Production   Technician   - WC40,Production Technician - WC40,7/11/2009,7/23/1970,brian2@adventure-works.com,730-555-0117,Small,Male,1,15.00,63,51,Production,7/11/2009,,Current
227,407505660,11,Linda,Meisner,Linda Meisner,Buyer,Buyer,7/17/2009,6/30/1970,linda2@adventure-works.com,916-555-0165,Medium,Female,2,18.27,56,48,Purchasing,7/17/2009,,Current
228,294148271,11,Betsy,Stadick,Betsy Stadick,Production   Technician   - WC10,Production Technician - WC10,7/18/2009,7/17/1942,betsy0@adventure-works.com,405-555-0171,Small,Female,1,13.45,99,69,Production,7/18/2009,,Current
229,552560652,11,Magnus,Hedlund,Magnus Hedlund,Facilities Administrative Assistant,Facilities Administrative Assistant,7/21/2009,3/27/1971,magnus0@adventure-works.com,583-555-0182,Medium,Male,2,9.75,87,63,Facilities and Maintenance,7/21/2009,,Current
230,834186596,11,Karan,Khanna,Karan Khanna,Production   Technician   - WC60,Production Technician - WC60,7/22/2009,10/5/1969,karan0@adventure-works.com,447-555-0186,Small,Male,1,12.45,28,34,Production,7/22/2009,,Current
231,717889520,11,Mary,Baker,Mary Baker,Production   Technician   - WC10,Production Technician - WC10,7/25/2009,4/19/1986,mary1@adventure-works.com,283-555-0185,Medium,Female,1,13.45,94,67,Production,7/25/2009,,Current
232,801365500,11,Kevin,Homer,Kevin Homer,Production   Technician   - WC10,Production Technician - WC10,7/25/2009,4/19/1986,kevin2@adventure-works.com,555-555-0113,Small,Male,1,13.45,90,65,Production,7/25/2009,,Current
233,413787783,11,Mihail,Frintu,Mihail Frintu,Production   Technician   - WC40,Production Technician - WC40,7/29/2009,10/7/1970,mihail0@adventure-works.com,733-555-0128,Small,Male,1,15.00,64,52,Production,7/29/2009,,Current
234,109272464,11,Bonnie,Kearney,Bonnie Kearney,Production   Technician   - WC10,Production Technician - WC10,8/1/2009,4/10/1986,bonnie0@adventure-works.com,264-555-0150,Medium,Female,1,13.45,89,64,Production,8/1/2009,,Current
235,482810518,11,Fukiko,Ogisu,Fukiko Ogisu,Buyer,Buyer,8/4/2009,6/24/1970,fukiko0@adventure-works.com,520-555-0177,Medium,Male,2,18.27,57,48,Purchasing,8/4/2009,,Current
236,113393530,11,Hung-Fu,Ting,Hung-Fu Ting,Production   Technician   - WC20,Production Technician - WC20,8/6/2009,5/23/1971,hung-fu0@adventure-works.com,497-555-0181,Small,Male,1,14.00,0,20,Production,8/6/2009,,Current
237,466142721,11,Gordon,Hee,Gordon Hee,Buyer,Buyer,8/11/2009,6/29/1942,gordon0@adventure-works.com,230-555-0144,Medium,Male,2,18.27,52,46,Purchasing,8/11/2009,,Current
238,390124815,11,Kimberly,Zimmerman,Kimberly Zimmerman,Production   Technician   - WC10,Production Technician - WC10,8/12/2009,4/13/1986,kimberly0@adventure-works.com,123-555-0167,Small,Female,1,13.45,95,67,Production,8/12/2009,,Current
239,6298838,11,Kim,Abercrombie,Kim Abercrombie,Production   Technician   - WC60,Production Technician - WC60,8/16/2009,7/14/1942,kim1@adventure-works.com,208-555-0114,Medium,Female,1,12.45,24,32,Production,8/16/2009,,Current
240,943170460,11,Sandeep,Kaliyath,Sandeep Kaliyath,Production   Technician   - WC40,Production Technician - WC40,8/17/2009,7/3/1970,sandeep0@adventure-works.com,166-555-0156,Small,Male,1,15.00,65,52,Production,8/17/2009,,Current
241,339233463,11,Prasanna,Samarawickrama,Prasanna Samarawickrama,Production   Technician   - WC20,Production Technician - WC20,8/22/2009,11/28/1952,prasanna0@adventure-works.com,129-555-0199,Medium,Male,1,14.00,5,22,Production,8/22/2009,,Current
242,367453993,11,Frank,Pellow,Frank Pellow,Buyer,Buyer,8/23/2009,12/11/1951,frank2@adventure-works.com,163-555-0147,Medium,Male,2,18.27,58,49,Purchasing,8/23/2009,,Current
243,872923042,11,Min,Su,Min Su,Production   Technician   - WC20,Production Technician - WC20,8/24/2009,4/10/1974,min0@adventure-works.com,590-555-0152,Medium,Male,1,14.00,1,20,Production,8/24/2009,,Current
